rank,title,artist,album,streams,publication date,foto,video
1,"""One Dance""[10]",Drake featuring WizKid and Kyla,Views [11],1011,6-May-16,http://files.jenesaispop.com/wp-content/uploads/2016/04/drake-onedance.jpg,https://www.youtube.com/watch?v=-OEVZ_tEBuk
2,"""Lean On""[12]",Major Lazer and DJ Snake featuring MÃ˜,Peace Is the Mission [13],909,1-Jun-15,https://www.beatmashmagazine.com/wp-content/uploads/2015/03/major-lazer.jpg,https://www.youtube.com/watch?v=YqeW9_5kURI
3,"""Sorry""[14]",Justin Bieber,Purpose (Deluxe) [15],828,13-Nov-15,http://static.t13.cl/images/sizes/1200x675/1457039327-justin-bieber-sorry-11001.jpg,https://www.youtube.com/watch?v=fRh_vgS2dFE
4,"""Love Yourself""[16]",Justin Bieber,Purpose (Deluxe) [15],782,13-Nov-15,http://image.europafm.com/clipping/cmsimages01/2015/11/10/5FF3EC59-773D-4ABA-880A-1BBE1AE754A7/51.jpg,https://www.youtube.com/watch?v=oyEuk8j8imI
5,"""Thinking Out Loud""[17]",Ed Sheeran,x (Deluxe Edition) [18],770,21-Jun-14,https://www.thebossardquartet.co.uk/wordpress/wp-content/uploads/2017/08/Ed-Sheeran.jpg,https://www.youtube.com/watch?v=lp-EO5I60KA
6,"""What Do You Mean?""[19]",Justin Bieber,Purpose (Deluxe) [15],750,13-Nov-15,http://www.slate.com/content/dam/slate/blogs/browbeat/2011/09/29/hugo_chavez_caption_contest/Justin-Bieber_what_do_you_mean.jpg.CROP.promovar-mediumlarge.jpg,https://www.youtube.com/watch?v=DK_0jXPuIr0
7,"""I Took a Pill in Ibiza""[20]",Mike Posner,"At Night, Alone. [21]",730,6-May-16,http://studio462.org/wp-content/uploads/2016/05/maxresdefault.jpg,https://www.youtube.com/watch?v=41GZVVcxQps
8,"""Cheerleader""[22]",OMI,Me 4 U [23],708,2-Dec-14,https://i.ytimg.com/vi/jGflUbPQfW8/maxresdefault.jpg,https://www.youtube.com/watch?v=jGflUbPQfW8
9,"""Don't Let Me Down""[25]",The Chainsmokers featuring Daya,Collage EP [26],694,5-Feb-16,http://z1035.com/wp-content/uploads/2016/05/chain.jpg,https://www.youtube.com/watch?v=Io0fBr1XBUA
10,"""Closer""[28]",The Chainsmokers featuring Halsey,Collage EP [26],678,29-Jul-16,https://dancingastronaut.com/wp-content/uploads/2016/05/chainsmokers.jpg,https://www.youtube.com/watch?v=PT2_F-1esPk
